------------------------------------
 Train MAE  Train Msg MAE  Train Belief MAE  Test MAE  Test Msg MAE  Test Belief MAE  Val MAE  Val Msg MAE  Val Belief MAE Epoch              Model
  0.056844       0.020793          0.036050  0.562665      0.259433         0.303232 0.574985     0.266564        0.308421    25    MPNN_SenderAggr
  0.057338       0.020841          0.036497  0.556858      0.257084         0.299773 0.568218     0.263951        0.304267    26    MPNN_SenderAggr
  0.058221       0.021100          0.037121  0.560011      0.258424         0.301587 0.568372     0.263960        0.304413    27    MPNN_SenderAggr
  0.061618       0.022355          0.039263  0.574324      0.263249         0.311075 0.578550     0.267186        0.311364    28    MPNN_SenderAggr
  0.056983       0.020897          0.036086  0.556819      0.256712         0.300107 0.565042     0.262229        0.302814    29    MPNN_SenderAggr
  0.057463       0.020835          0.036628  0.573975      0.263213         0.310762 0.578737     0.267402        0.311335    30    MPNN_SenderAggr
  0.058336       0.021290          0.037046  0.568980      0.261829         0.307152 0.582580     0.269485        0.313095    31    MPNN_SenderAggr
  0.058300       0.021206          0.037094  0.559798      0.257712         0.302086 0.567343     0.262913        0.304430    32    MPNN_SenderAggr
  0.054874       0.019987          0.034886  0.552957      0.255780         0.297177 0.562726     0.261982        0.300744    33    MPNN_SenderAggr
  0.054495       0.019906          0.034589  0.553418      0.256091         0.297327 0.563951     0.262613        0.301338    34    MPNN_SenderAggr
  0.054243       0.019768          0.034476  0.563277      0.259396         0.303882 0.576390     0.266987        0.309403    35    MPNN_SenderAggr
  0.054600       0.019892          0.034708  0.554351      0.256291         0.298060 0.565361     0.263036        0.302324    36    MPNN_SenderAggr
  0.055047       0.020057          0.034990  0.563417      0.259358         0.304059 0.577065     0.267135        0.309930    37    MPNN_SenderAggr
  0.057277       0.020841          0.036436  0.584557      0.266073         0.318484 0.586422     0.269206        0.317216    38    MPNN_SenderAggr
  0.055699       0.020404          0.035296  0.557608      0.257483         0.300124 0.566336     0.263153        0.303183    39    MPNN_SenderAggr
  0.053001       0.019448          0.033552  0.561605      0.258954         0.302650 0.573982     0.266240        0.307741    40    MPNN_SenderAggr
  0.056392       0.020694          0.035698  0.565796      0.259904         0.305892 0.579565     0.267810        0.311755    41    MPNN_SenderAggr
  0.056817       0.020761          0.036055  0.553156      0.256058         0.297099 0.563523     0.262562        0.300961    42    MPNN_SenderAggr
  0.055273       0.020375          0.034898  0.569737      0.261715         0.308022 0.583477     0.269571        0.313906    43    MPNN_SenderAggr
  0.055533       0.020430          0.035103  0.561090      0.258647         0.302444 0.573057     0.265797        0.307260    44    MPNN_SenderAggr
  0.052786       0.019502          0.033284  0.553078      0.255745         0.297333 0.563670     0.262285        0.301385    45    MPNN_SenderAggr
  0.052150       0.019287          0.032863  0.558201      0.257485         0.300715 0.570539     0.264716        0.305823    46    MPNN_SenderAggr
  0.051931       0.019293          0.032638  0.558733      0.257616         0.301117 0.566490     0.262976        0.303514    47    MPNN_SenderAggr
  0.054387       0.020064          0.034323  0.554092      0.255797         0.298295 0.564867     0.262353        0.302514    48    MPNN_SenderAggr
  0.053818       0.019967          0.033851  0.553808      0.255865         0.297943 0.564018     0.262268        0.301750    49    MPNN_SenderAggr
  0.053291       0.019855          0.033436  0.564121      0.259887         0.304234 0.571175     0.264855        0.306321    50    MPNN_SenderAggr
  0.052935       0.019779          0.033157  0.554979      0.256247         0.298732 0.565985     0.262974        0.303011    51    MPNN_SenderAggr
  0.052679       0.019712          0.032966  0.556799      0.256843         0.299956 0.565354     0.262432        0.302922    52    MPNN_SenderAggr
  0.050465       0.019006          0.031459  0.552758      0.255653         0.297106 0.563167     0.262143        0.301024    53    MPNN_SenderAggr
  0.051717       0.019358          0.032359  0.554469      0.256042         0.298426 0.564094     0.262209        0.301884    54    MPNN_SenderAggr
  0.052270       0.019636          0.032635  0.556242      0.256862         0.299380 0.565701     0.262904        0.302797    55    MPNN_SenderAggr
  0.051389       0.019500          0.031889  0.561627      0.258836         0.302792 0.573256     0.265850        0.307405    56    MPNN_SenderAggr
  0.050315       0.019127          0.031188  0.552884      0.255625         0.297259 0.562976     0.261982        0.300994    57    MPNN_SenderAggr
  0.049999       0.019044          0.030955  0.561756      0.258654         0.303102 0.568812     0.263694        0.305118    58    MPNN_SenderAggr
  0.050535       0.019240          0.031296  0.561767      0.258769         0.302998 0.574362     0.266205        0.308156    59    MPNN_SenderAggr
  0.051268       0.019526          0.031742  0.566617      0.260578         0.306039 0.579929     0.268285        0.311643    60    MPNN_SenderAggr
  0.049847       0.019046          0.030801  0.555386      0.256854         0.298532 0.565158     0.262980        0.302178    61    MPNN_SenderAggr
  0.049039       0.018910          0.030129  0.552998      0.255700         0.297299 0.563744     0.262310        0.301435    62    MPNN_SenderAggr
  0.050116       0.019189          0.030928  0.562504      0.259037         0.303468 0.575487     0.266548        0.308939    63    MPNN_SenderAggr
  0.050246       0.019286          0.030959  0.555003      0.256370         0.298632 0.566281     0.263159        0.303122    64    MPNN_SenderAggr
  0.050007       0.019143          0.030864  0.553297      0.255512         0.297785 0.562652     0.261578        0.301074    65    MPNN_SenderAggr
  0.049749       0.019108          0.030641  0.559249      0.257727         0.301521 0.567152     0.263098        0.304055    66    MPNN_SenderAggr
  0.050059       0.019185          0.030874  0.563083      0.259230         0.303853 0.576077     0.266759        0.309319    67    MPNN_SenderAggr
  0.049879       0.019215          0.030665  0.555868      0.256609         0.299259 0.567529     0.263567        0.303962    68    MPNN_SenderAggr
  0.049738       0.019157          0.030581  0.559430      0.257941         0.301489 0.571720     0.265174        0.306546    69    MPNN_SenderAggr
  0.049695       0.019144          0.030550  0.561256      0.258231         0.303025 0.567998     0.263137        0.304861    70    MPNN_SenderAggr
  0.049280       0.019029          0.030251  0.557388      0.257114         0.300274 0.569222     0.264192        0.305029    71    MPNN_SenderAggr
  0.049128       0.018961          0.030167  0.556994      0.256956         0.300038 0.568435     0.263880        0.304555    72    MPNN_SenderAggr
  0.049348       0.019087          0.030261  0.557163      0.257097         0.300066 0.568508     0.264016        0.304492    73    MPNN_SenderAggr
  0.049098       0.018938          0.030161  0.552956      0.255727         0.297229 0.563664     0.262315        0.301349    74    MPNN_SenderAggr
  0.048256       0.018732          0.029525  0.552586      0.255309         0.297276 0.562244     0.261540        0.300705    75    MPNN_SenderAggr
  0.047967       0.018715          0.029252  0.556367      0.257095         0.299272 0.565497     0.262933        0.302564    76    MPNN_SenderAggr
  0.047985       0.018818          0.029167  0.555459      0.256543         0.298916 0.564507     0.262375        0.302132    77    MPNN_SenderAggr
  0.048257       0.019014          0.029243  0.558087      0.257312         0.300775 0.569893     0.264377        0.305515    78    MPNN_SenderAggr
  0.048299       0.019036          0.029263  0.560023      0.258056         0.301967 0.572566     0.265409        0.307156    79    MPNN_SenderAggr
  0.048331       0.019090          0.029242  0.556731      0.256933         0.299798 0.565705     0.262752        0.302953    80    MPNN_SenderAggr
  0.048170       0.019060          0.029110  0.558624      0.257507         0.301117 0.566922     0.263038        0.303884    81    MPNN_SenderAggr
